Date,Elevation (m),Soil Type,Slope Gradient (%),Temperature (°C),Rainfall (mm),Humidity (%),Forest Cover (%),Species Count,Endangered Species (Count),Groundwater Level (m),Surface Water Quality Index,Water Demand (MLD),Urban Area (%),Agricultural Land (%),Industrial Area (%),Flood Risk Level,Earthquake Intensity (Richter),Disaster Preparedness Index,AQI,Water Pollution Index,Waste Generation (tons/day),Population,Employment Rate (%),Policy Initiatives
1/11/2024,253.37,Loamy,4.24,29,5,84.3,Forest Cover (%),198,3,22.61,84.2,117.5,43.2,31.4,19.4,Medium,4.7,0.52,211,69.3,348.8,128376,76.7,Yes
1/12/2024,250.37,Clayey,3.8,41.1,2,82.1,Forest Cover (%),176,5,16.14,65,99.6,41.9,31.2,17.8,Low,4.4,0.63,227,77.5,350.2,123614,72,No
1/13/2024,256.81,Sandy,4.83,29.3,0,51.1,Forest Cover (%),162,4,18.45,61.8,87.1,44.3,33,17.8,High,3.1,0.63,122,61.9,350.4,125893,78.7,Yes
1/14/2024,252.63,Sandy,4.59,16.8,0,77.3,Forest Cover (%),157,5,19.56,68.6,97.5,42.6,32.1,16,Low,3.1,0.75,245,71.7,366.5,121524,78,Yes
1/15/2024,251.34,Alluvial,2.18,31.3,0,89.7,Forest Cover (%),185,3,21.51,76.8,90.3,40.3,34.7,16.9,Medium,4.3,0.53,222,58.1,398.7,126846,72.3,No
1/16/2024,255.06,Sandy,4.84,38.7,10,74.4,Forest Cover (%),194,3,15.86,82.7,111.8,40,32.6,16.5,Low,4.7,0.77,146,58.5,338.3,129945,81.2,Yes
1/17/2024,259.64,Clayey,2.83,8.6,2,81.9,Forest Cover (%),180,4,15.83,67.8,99.7,43,33.8,17.3,High,4.6,0.68,124,51,305,126793,68,Yes
1/18/2024,257.2,Sandy,4.2,11,1,70.3,Forest Cover (%),199,4,23.18,86.1,91.3,41,31.6,15.3,Medium,3.9,0.69,155,75.3,392.8,123521,74.7,No
1/19/2024,255.25,Alluvial,3.25,20.8,2,39.7,Forest Cover (%),199,3,16.28,75.9,106.3,41.7,30.6,19.1,High,4.1,0.79,166,75.9,310.3,122464,66.5,No
1/20/2024,256.37,Clayey,2.79,25.3,2,70.6,Forest Cover (%),171,5,24.28,76.8,118,42.6,32.6,16.4,High,4.6,0.66,104,71.6,316,124231,82.9,No
1/21/2024,258.11,Alluvial,4.46,30.2,0,51.8,Forest Cover (%),198,5,18.58,85.3,83.3,44,32.8,17.1,Low,3.9,0.62,201,74,325.3,124775,77.7,No
1/22/2024,258.96,Loamy,4.43,9.3,50,44.1,Forest Cover (%),158,4,22.69,88.7,86.4,42.3,30.5,15.4,High,3.6,0.77,148,71.9,390.9,127766,71.7,Yes
1/23/2024,251.62,Alluvial,2.75,34.7,20,81.6,Forest Cover (%),174,4,20.86,81.7,92,43.8,33.8,19.5,High,4.4,0.78,105,69.6,352.9,122007,81.7,Yes
1/24/2024,251.8,Sandy,4.22,31.7,50,85.4,Forest Cover (%),198,4,18.16,64,97.7,42.8,31.4,18,Medium,3,0.5,247,52,357.3,125470,73.4,Yes
1/25/2024,254.39,Loamy,4.97,17.4,0,36.3,Forest Cover (%),160,4,22.33,69.1,111.2,41.4,34.9,15.8,Low,3.4,0.73,190,69.4,334.5,127295,84.1,No
1/26/2024,251.46,Loamy,2.02,27.5,1,88.2,Forest Cover (%),160,4,21.13,87,101.5,40.4,33.9,17.4,Low,4.9,0.68,160,79.2,314.3,121204,74,No
1/27/2024,257.51,Alluvial,3.45,39.9,10,51.6,Forest Cover (%),162,5,18.34,86,113.8,41.6,30.9,16.8,High,4.3,0.6,210,50.7,380.6,120557,73.4,Yes
1/28/2024,254.48,Sandy,4.58,11.6,10,71.7,Forest Cover (%),156,5,24.06,73.6,117.6,44.4,30.8,15.7,Medium,4.5,0.71,226,74.1,301,126478,76.5,No
1/29/2024,251.93,Sandy,3.78,26.7,2,55.6,Forest Cover (%),170,5,16.52,61.1,111.8,43.7,32.1,17.6,High,3.8,0.6,142,71.6,397.9,126310,82.5,Yes
1/30/2024,259.01,Alluvial,4.54,31,20,89.7,Forest Cover (%),184,3,23.82,88.5,91.2,43.3,33.8,17.5,Low,3.2,0.55,130,54.7,331.1,127336,78.8,Yes
1/31/2024,258.19,Alluvial,4.22,37.7,2,81.9,Forest Cover (%),178,4,23.67,81.9,86.3,40.5,31.4,19.5,Low,3.4,0.5,124,72.4,314,125805,76.8,No
2/1/2024,251.49,Sandy,4.33,23.3,0,74.4,Forest Cover (%),160,4,22.02,77.6,85,44.1,34.9,19.5,Medium,4.9,0.66,113,74,309.4,125197,82,Yes
2/2/2024,258.57,Sandy,3.81,28.7,1,51.6,Forest Cover (%),196,4,15.58,75.7,107.6,44.5,30.8,19.8,Low,3,0.79,217,73.5,343.2,127053,72.3,Yes
2/3/2024,254.32,Sandy,2.93,31.6,20,49.2,Forest Cover (%),157,3,21.73,68.5,80.1,43.4,31.1,15.8,High,3.6,0.53,249,76.9,302.9,120408,84.5,No
2/4/2024,257.67,Sandy,3.46,35.8,1,82.4,Forest Cover (%),185,3,21.6,87.8,118.8,44.4,33.1,15.1,Medium,4.1,0.51,214,71,304.7,122629,65.4,Yes
2/5/2024,258.81,Alluvial,2.85,20.9,1,33.2,Forest Cover (%),175,3,18.98,81.4,105.8,43.4,30.4,18,High,3.9,0.77,103,79,329.1,129858,69.6,No
2/6/2024,252.18,Sandy,2.9,34.2,20,85,Forest Cover (%),163,4,21.92,84.9,88.2,40.1,33.2,19.7,Medium,3.4,0.51,218,70.5,367.1,121484,75.2,No
2/7/2024,258.1,Loamy,3.68,27.1,50,57.2,Forest Cover (%),183,4,22.49,74.2,80.1,40.9,31.9,17.3,Low,4.6,0.55,117,60.2,332.1,120377,72.5,Yes
2/8/2024,250.42,Alluvial,3.54,41,10,54.5,Forest Cover (%),191,3,16.9,80.8,106.3,40.7,30.8,16.8,Low,4.1,0.75,245,62.3,305.3,129064,78.9,Yes
2/9/2024,254.43,Sandy,2.36,27,2,41.8,Forest Cover (%),191,3,19.36,60.2,80.8,43.8,32.7,18.8,Medium,3.1,0.55,151,73.9,353.5,123051,68.6,Yes
2/10/2024,251.56,Sandy,2.39,16.8,2,44.2,Forest Cover (%),178,5,20.3,62.4,84.6,44.7,31.7,18.2,High,5,0.51,163,66.8,397.6,122198,68.9,Yes
2/11/2024,259.38,Clayey,3.97,10.1,20,59.4,Forest Cover (%),195,3,22.3,65.4,103.8,43.1,31.7,15.8,Medium,4,0.64,188,65.6,353.5,120166,83.3,Yes
2/12/2024,250.27,Clayey,4.9,13.2,5,88.3,Forest Cover (%),182,4,16.61,60.8,88.3,40.8,31.5,19.1,Medium,3.4,0.78,137,76,301.6,129886,83.4,No
2/13/2024,251.4,Loamy,4.88,29.4,50,36.2,Forest Cover (%),195,5,22.54,67.9,102.5,44.3,30.5,15.6,Low,3.8,0.61,103,52.7,389.8,121829,68.9,Yes
2/14/2024,254.74,Clayey,2.49,36.7,0,38.3,Forest Cover (%),197,5,18.55,70.2,98.2,42.2,32,16.2,High,4.3,0.54,244,67.3,367.8,122942,78.4,No
2/15/2024,254.23,Loamy,3.42,22.7,5,66.1,Forest Cover (%),172,5,16.68,63.8,106.1,44.2,34.1,19.3,Medium,4.3,0.79,101,58.2,338.2,129513,80.2,No
2/16/2024,250.75,Loamy,3.3,13.5,2,54.8,Forest Cover (%),184,5,18.07,75,99.5,43.3,33.1,16.5,Low,4.3,0.75,126,57.9,393.3,123687,78.4,No
2/17/2024,253.25,Loamy,3.38,41.8,1,52,Forest Cover (%),170,4,15.33,66.8,101.2,40.2,34.5,16.5,High,4.8,0.54,129,79.6,332.4,127078,80.9,Yes
2/18/2024,258.14,Alluvial,2.26,10.3,50,42.8,Forest Cover (%),152,3,21.77,66.4,81.8,44.7,32.7,15.4,Medium,4.7,0.51,126,71.7,345.2,127389,79.9,Yes
2/19/2024,251.5,Loamy,3.37,13.4,50,77.9,Forest Cover (%),177,4,17.88,64.6,81.1,43.9,30.9,16.3,Low,3.9,0.67,193,78.6,330.7,127276,65.2,No
2/20/2024,256.49,Alluvial,3.96,14.4,1,35.4,Forest Cover (%),168,5,22.88,67.4,116.5,42,31.1,18,Medium,3.7,0.6,204,59.6,339.5,129419,77.3,Yes
2/21/2024,258.78,Alluvial,2.71,41.1,50,78.4,Forest Cover (%),157,4,16.37,74.6,106.8,43.8,34.4,18.6,High,3.8,0.53,205,73.2,374.9,128718,83.4,No
2/22/2024,250.05,Loamy,2.26,32.1,0,57.4,Forest Cover (%),179,3,17.33,72.3,93.4,40.1,34.8,16.5,High,3.4,0.58,184,61.6,347.9,120039,67.1,Yes
2/23/2024,252.86,Loamy,4.48,18.4,10,39.2,Forest Cover (%),182,4,23.03,62.9,89.4,41.3,30.9,19.2,Medium,3.3,0.63,149,75.9,310.7,120835,65.6,Yes
2/24/2024,259.22,Clayey,2.86,26.9,5,83,Forest Cover (%),152,4,22.96,74.9,85.1,42.9,33.3,15.4,Low,4.9,0.53,189,52.2,393,126358,81.4,Yes
2/25/2024,250.49,Clayey,3.13,28.5,10,51.2,Forest Cover (%),198,3,22.49,77.1,109.7,42.9,30.5,16.5,Medium,3.8,0.62,153,73.5,359.8,128893,84.3,No
2/26/2024,251.44,Sandy,5,25.6,10,80,Forest Cover (%),161,5,22.5,83.8,81.3,42.3,31.3,17.2,Low,4.1,0.51,183,51.2,365.9,127903,71.5,Yes
2/27/2024,251.14,Loamy,3.85,32.3,0,34.7,Forest Cover (%),164,3,22.32,71.4,80.6,44.5,30.8,19.2,High,3.8,0.58,225,79.8,332.9,126123,69.6,No
2/28/2024,259.81,Sandy,4.43,16.1,0,48.7,Forest Cover (%),185,5,19.14,83.7,115,42.3,33.1,15.5,High,3.6,0.59,141,67.4,341.2,124852,76.8,Yes
2/29/2024,252.27,Alluvial,2.25,10.8,0,45,Forest Cover (%),184,4,18.24,79.1,109.9,44.2,30.3,18.2,High,4.3,0.62,226,78.5,322.2,121384,71.9,No
3/1/2024,253.92,Clayey,2.33,19.3,0,76.4,Forest Cover (%),151,5,18.51,69.2,117,40.8,32.5,16.9,Medium,3.8,0.68,233,75.4,355.7,127549,78.4,No
3/2/2024,253.2,Alluvial,2.75,10,10,63.7,Forest Cover (%),193,5,20.16,72.2,110.2,40.2,32.5,19.7,High,4,0.58,201,70.3,324.1,128557,83.4,No
3/3/2024,254.45,Sandy,3.86,21.1,50,82.7,Forest Cover (%),169,4,19.95,83.4,111.5,42.9,32,17.2,Medium,4.9,0.51,127,58.2,361.6,121466,82.9,Yes
3/4/2024,254.28,Clayey,4.15,14.9,10,61.1,Forest Cover (%),160,5,20.84,60.7,91.1,43.8,30.5,18.4,Low,4.8,0.51,197,59.9,358.9,120484,65.3,No
3/5/2024,256.13,Sandy,2.38,41.9,5,50.9,Forest Cover (%),160,4,15.29,80.6,113.4,40.6,34,19.2,High,3.4,0.54,183,61.3,390.7,121523,82.5,Yes
3/6/2024,253.9,Sandy,3.03,38.8,0,53.9,Forest Cover (%),158,4,17.88,85.6,99.3,42,31.9,17.4,Low,4.5,0.78,107,55.8,317,125858,79.3,Yes
3/7/2024,251.82,Sandy,3.86,14.8,0,54.2,Forest Cover (%),167,3,22.98,60.5,82.4,42.4,34.1,18.5,Medium,3.2,0.63,153,52.6,373.5,121477,69.4,No
3/8/2024,258.17,Clayey,4.77,11.3,2,48,Forest Cover (%),158,3,17.06,78.6,113.3,43.5,34.2,17.5,High,3.6,0.56,194,62.1,315.3,126126,83.2,No
3/9/2024,252.1,Loamy,2.18,30.8,20,37.5,Forest Cover (%),199,3,24.31,78.5,91,43,32.6,17.9,Low,3.2,0.52,162,76.8,319.3,125003,80,No
3/10/2024,257.33,Loamy,3.2,38.1,5,58.9,Forest Cover (%),193,4,21.86,78.9,117.2,40.4,30.6,16,Medium,3.4,0.54,178,54,327.8,123826,68.9,No
3/11/2024,251.08,Sandy,3.68,30,0,82.4,Forest Cover (%),166,5,23.02,84.7,81.9,44.6,30.3,16.5,Low,4.7,0.6,242,50.5,320.6,126554,79.1,No
3/12/2024,258.15,Sandy,3.44,22.2,1,35.4,Forest Cover (%),190,4,24.11,68.3,105.1,43.1,32.2,17.8,Low,4.8,0.57,134,56.8,382.2,126452,76.7,Yes
3/13/2024,258.64,Clayey,4.33,20.3,0,40.6,Forest Cover (%),194,4,23.06,67.6,81.2,43.4,32,18.1,Low,4,0.58,212,72.7,305.4,128880,82.5,No
3/14/2024,254.68,Loamy,2.73,20.9,1,56.2,Forest Cover (%),183,4,20.05,85.1,85.9,40,34.3,18.7,Low,3.4,0.52,119,76.6,395.5,124887,74.3,Yes
3/15/2024,254.5,Loamy,4.82,34.5,0,31.1,Forest Cover (%),152,5,17.48,89.2,110.4,41.1,30.9,16.7,Medium,3.2,0.71,173,75.9,375.5,128766,78.3,No
3/16/2024,257.97,Clayey,4.43,23.5,0,74.3,Forest Cover (%),157,4,19.69,73.7,81.6,43,31.6,17.3,Medium,3.8,0.77,102,55.6,359.6,125105,66.1,Yes
3/17/2024,255.08,Sandy,2.34,19,0,34.6,Forest Cover (%),156,3,23.7,60.8,88,43.2,32.2,17.9,Medium,3.8,0.66,122,63.7,377.9,127958,75.3,Yes
3/18/2024,259.86,Loamy,3.61,11.6,20,35.1,Forest Cover (%),157,5,16.49,85.2,104.5,40.4,34.5,17.4,Low,4.7,0.53,212,67,334.4,129608,82.9,Yes
3/19/2024,251.28,Clayey,2.77,33.8,5,40.1,Forest Cover (%),183,4,17.43,78.7,112.2,45,31.8,15,High,3.9,0.65,220,75.5,311.9,128380,74.8,No
3/20/2024,256.74,Loamy,3.07,41.1,10,64.2,Forest Cover (%),180,3,19.59,70.5,109,40.6,32.3,19.4,Medium,4.3,0.54,142,51.2,316.7,128172,79.6,Yes
3/21/2024,251.73,Clayey,4.79,36.7,0,37.1,Forest Cover (%),160,3,23.52,83.4,94.6,42.1,32.2,17.7,Low,3.3,0.66,101,64.8,330.5,128164,67.5,Yes
3/22/2024,254.91,Sandy,3.55,14.3,50,68.4,Forest Cover (%),150,5,18.9,67.4,86.5,43.8,32.1,19.5,Low,3.9,0.72,237,57.7,362.5,126628,76.7,No
3/23/2024,253.8,Sandy,2.48,10.2,2,67.1,Forest Cover (%),189,4,24.35,76,100.7,42.3,30.7,18.2,Low,4.2,0.67,155,71.9,334.3,128229,84.5,No
3/24/2024,254.14,Loamy,4.7,24.3,1,65.5,Forest Cover (%),159,4,16.78,84.3,90.2,44.8,30.8,15.4,Medium,4.1,0.61,100,76.2,360,120308,66.5,No
3/25/2024,252.81,Alluvial,2.75,12.2,0,76.9,Forest Cover (%),195,5,17.36,69,95.7,41.9,31.9,15.5,Medium,3.9,0.71,227,55.6,302.7,128243,70.7,No
3/26/2024,252.06,Clayey,4.12,31.4,0,50.3,Forest Cover (%),153,5,19.54,82.1,89.2,44,34.3,16.1,High,4.3,0.79,231,68.5,318.9,121058,70,No
3/27/2024,256.11,Alluvial,2.89,16.1,50,39,Forest Cover (%),180,5,16.54,64.4,116.4,42.3,34.2,18,Low,3.5,0.7,191,50.4,363.5,127537,81.8,No
3/28/2024,250.37,Alluvial,4.3,9.9,1,38.2,Forest Cover (%),170,3,23.92,72.8,117.4,40.5,32.2,18.3,Low,3.6,0.68,175,73.3,360.4,122947,81.5,No
3/29/2024,259.8,Loamy,2.98,41.8,10,61.5,Forest Cover (%),191,5,20.52,71.7,84.5,43,33.1,17,Medium,3.8,0.64,232,65.9,322,125627,65.7,No
3/30/2024,250.24,Sandy,3.58,30,0,50,Forest Cover (%),150,4,21.42,83.3,99.6,43.5,32.6,16.3,Medium,3.8,0.54,216,67.9,300.9,121336,82.7,No
3/31/2024,255.16,Sandy,4.26,37.7,0,85.8,Forest Cover (%),191,5,18.68,81.2,104.7,42.1,34.7,15.3,High,4.5,0.77,233,54.3,395.3,124616,69.9,No
4/1/2024,259.49,Alluvial,2.55,27.3,0,62,Forest Cover (%),178,4,24.92,77.3,98.2,42.3,33.2,17,Medium,4.3,0.73,193,52.8,391,129769,85,No
4/2/2024,257.71,Alluvial,3.78,21.7,2,61.4,Forest Cover (%),195,3,15.21,65.4,96.7,43.4,33.3,17.4,Medium,4.6,0.66,141,66.6,308.3,126618,79.6,No
4/3/2024,258.4,Loamy,3.26,30.9,20,34.7,Forest Cover (%),193,4,19.34,65,103.1,43.8,32.2,19.6,Medium,4.7,0.71,105,54.2,303,127035,65.5,Yes
4/4/2024,258.82,Alluvial,4.4,36.4,2,76,Forest Cover (%),180,3,23.47,75,93.5,40.1,30.6,19.5,Low,3.8,0.76,208,56.4,396.2,122623,76.4,No
4/5/2024,250.6,Loamy,3.08,25.6,0,50,Forest Cover (%),187,4,20.04,61.4,80.3,40.5,31.8,17.6,Medium,3.3,0.5,152,69.8,362.4,129733,66.9,No
4/6/2024,253.34,Sandy,4.86,11,50,84.3,Forest Cover (%),166,4,20.05,66.4,99.3,42.8,31.6,19.7,Medium,4,0.78,158,75,379.7,127384,79.9,Yes
4/7/2024,256.49,Clayey,3.17,16,0,89,Forest Cover (%),165,4,16.86,60,94,42.1,31.1,16.3,High,3.2,0.6,148,73.8,398.5,127455,80,No
4/8/2024,250.04,Loamy,3.48,28.4,0,73.6,Forest Cover (%),152,3,20.42,66.7,113.1,42.8,31.9,16.3,Medium,3,0.57,232,69.2,309.1,124270,77.8,Yes
4/9/2024,257.98,Loamy,3.81,18.3,0,55.3,Forest Cover (%),158,3,18.89,67.1,107.9,40.6,33.9,15.8,Low,5,0.71,239,76.2,348,129352,80.6,Yes
4/10/2024,251.34,Alluvial,2.18,32,0,68.3,Forest Cover (%),192,3,17.22,88.4,84.5,40.4,30.9,15.6,High,3.1,0.64,131,61.1,370.3,126343,71.8,No
4/11/2024,254.27,Loamy,3.8,36.5,0,88.3,Forest Cover (%),173,5,20.01,84,103.1,44,30.9,15.7,Low,4,0.52,202,58.5,379,125341,69.8,No
4/12/2024,253.38,Loamy,2.65,11.5,0,70,Forest Cover (%),170,5,23.73,87.9,109.1,44.2,33.1,19.5,High,3.2,0.73,190,57.3,376.7,124320,73.5,No
4/13/2024,252.36,Clayey,4.08,27.2,10,44.3,Forest Cover (%),153,5,23.91,60.9,118.2,44.3,34.6,18.8,High,3.6,0.66,227,78.7,382.7,126231,74.8,No
4/14/2024,256.95,Clayey,3.48,36,10,40.1,Forest Cover (%),194,3,20.48,86.4,97.9,42.3,30.1,18.1,Medium,5,0.8,205,64.9,366.8,125127,72.6,No
4/15/2024,250.42,Loamy,3.03,17.3,0,72.3,Forest Cover (%),190,4,24.38,84.6,98.6,40.4,32,18.5,Low,3.9,0.79,183,51.1,300.6,121402,73.5,No
4/16/2024,250.74,Clayey,3.21,13.5,10,80.7,Forest Cover (%),190,4,24.27,85.5,117.8,42.5,30.2,19.1,Medium,4.4,0.77,143,75.6,380.6,126765,71.4,Yes
4/17/2024,253.04,Loamy,2.11,21.4,20,43.1,Forest Cover (%),170,3,21.41,89.2,100.1,41.6,34.4,16.7,Medium,4.1,0.64,175,64.8,311.1,129203,80.3,No
4/18/2024,258.66,Clayey,3.17,35.2,50,89.6,Forest Cover (%),199,4,22.03,75.1,85.4,40.6,35,15.9,Low,3.5,0.68,248,58,355,124886,66.1,No
4/19/2024,252.46,Clayey,4.07,12.3,0,67.2,Forest Cover (%),178,5,19.36,63.8,114.4,43.2,31.3,16.6,High,4.8,0.61,113,69.7,333.6,120851,81,No
4/20/2024,256.2,Clayey,2.25,31.8,5,37.6,Forest Cover (%),187,5,19.04,64.9,85.9,41.3,31.3,18.1,Medium,3.7,0.51,139,60.3,341.7,124449,70.4,No
4/21/2024,255.58,Sandy,3.52,24.4,0,74.7,Forest Cover (%),187,4,22.46,73.4,116.6,44.2,34.7,18.5,Medium,3.1,0.53,190,64.7,324,125206,76.7,Yes
4/22/2024,250.56,Clayey,3.77,15.9,0,36.8,Forest Cover (%),152,5,15.83,65.1,108,43.8,31.7,18.7,Low,4.8,0.53,101,63.6,313.3,128654,72.1,No
4/23/2024,250.59,Clayey,3.13,26.4,0,40.8,Forest Cover (%),161,3,17.27,82.9,104.4,43.6,32.6,15.1,Medium,3.8,0.56,151,50.6,354,126057,73.1,No
4/24/2024,250.4,Sandy,3.67,27.7,20,63.7,Forest Cover (%),189,5,18.37,86.1,111.7,41.2,31.1,17.8,High,3.1,0.69,186,78.5,332.4,121934,65.3,Yes
4/25/2024,256.78,Clayey,4.9,28.9,0,50.3,Forest Cover (%),185,3,18.45,89.9,100.8,40.6,31.1,17.9,Low,4.6,0.64,219,68.5,398.8,121939,68.5,No
4/26/2024,252.28,Clayey,2.99,22.9,0,67.3,Forest Cover (%),165,5,23.43,87,90,44.5,31.2,15.6,Medium,3.1,0.61,122,79.7,340.7,120429,69,Yes
4/27/2024,257.66,Alluvial,2.51,18.1,0,45,Forest Cover (%),154,3,20.79,80.1,97,40.9,33.5,15.6,High,3.1,0.71,124,53.7,351.3,120671,68.7,Yes
4/28/2024,255.81,Alluvial,2.18,33.6,1,39.5,Forest Cover (%),163,5,22.27,81.6,118.1,41.6,33.8,18.5,Medium,3.9,0.67,138,54.4,395.6,129692,71.1,No
4/29/2024,256.2,Sandy,3.76,26.7,2,37.3,Forest Cover (%),183,5,23.66,71.2,86.9,40.7,31.6,17.6,Medium,4.7,0.61,192,76.8,397,125799,80,Yes
4/30/2024,254.28,Loamy,2.32,32.3,1,37.5,Forest Cover (%),189,4,16.12,87.3,112.3,42.5,33.5,19.5,Medium,3.4,0.68,177,61.7,383.4,129014,67.2,No
5/1/2024,258.22,Loamy,3.69,39,10,61.4,Forest Cover (%),194,5,15.09,67.9,109,44.8,31,19.1,Low,4.9,0.74,151,75.2,300.7,129349,70.3,Yes
5/2/2024,258.63,Loamy,3.82,31,50,63.3,Forest Cover (%),180,4,17.29,81.3,98.5,41.9,30.6,19.1,High,4,0.53,172,61.7,347.3,128814,73.2,No
5/3/2024,252.72,Loamy,3.13,18.8,50,70.8,Forest Cover (%),193,3,22.94,85.3,84.5,40.3,33.7,15.5,High,3.1,0.6,103,61.2,328.7,123209,77,Yes
5/4/2024,254.66,Sandy,4.7,13.4,0,86.4,Forest Cover (%),172,5,21.43,71.7,81.1,42.9,31.7,15.2,High,4.3,0.68,200,59.7,385,129907,73.2,Yes
5/5/2024,252.74,Sandy,4.45,12,2,69.7,Forest Cover (%),155,3,24.23,83.1,114.7,41.3,31.5,15.3,High,3.7,0.8,169,51.6,352.5,120360,67.5,Yes
5/6/2024,252.02,Sandy,2.15,18.4,5,47.6,Forest Cover (%),183,4,15.12,85.9,92.9,43.7,33.1,18.6,Medium,3.3,0.61,204,56,300.5,124305,74.4,Yes
5/7/2024,253.5,Sandy,3.16,41,2,86.1,Forest Cover (%),193,3,18.36,79.2,104.6,41.7,32.6,19.3,Low,4.6,0.52,128,79.3,359,127794,66.2,Yes
5/8/2024,253.25,Clayey,4.53,18.9,0,49.4,Forest Cover (%),196,3,16.51,65.3,80.7,43.7,32,17.1,Medium,3.2,0.57,217,55,307.5,120055,74.4,No
5/9/2024,255.68,Alluvial,3.28,22.3,2,45.7,Forest Cover (%),197,5,18.74,81.4,101.2,42.2,31.8,16.1,High,4.7,0.74,219,79.1,363.6,125800,74.7,No
5/10/2024,259.03,Alluvial,4.01,9.2,0,67.2,Forest Cover (%),153,4,17.73,60.3,113,43.1,32.4,16.4,High,4.8,0.63,195,77.5,350.1,122531,72.2,Yes
5/11/2024,250.73,Loamy,2.52,15.4,0,69.2,Forest Cover (%),159,3,15.61,72.9,111,43.8,32.7,16.8,Low,4.7,0.54,169,67.9,349.3,122676,79.8,Yes
5/12/2024,254.21,Sandy,4.27,30.7,0,70.6,Forest Cover (%),177,5,21.85,65.2,106.9,40.7,30.5,18.3,Low,3.6,0.68,173,61.1,394.3,123145,72.3,Yes
5/13/2024,251.22,Clayey,4.09,13.8,0,51.3,Forest Cover (%),191,3,22.09,85.1,102,41.4,32.4,15.6,Medium,4.4,0.64,195,57.8,356.6,122847,84.5,Yes
5/14/2024,257.07,Sandy,4.43,14.4,0,61,Forest Cover (%),190,3,19.76,74.9,95.7,44.3,30,16.6,High,3.5,0.71,179,75.5,322.2,126395,65.4,No
5/15/2024,255.65,Alluvial,2.95,32.3,0,47.4,Forest Cover (%),162,3,22.58,80,80.3,44,33.1,19.3,Medium,3.8,0.78,164,68.1,358.5,125706,83.4,No
5/16/2024,251.69,Loamy,2.73,27.8,0,71.4,Forest Cover (%),186,4,15.18,67,102.9,42,35,15.9,High,3.1,0.65,120,50.2,374.8,124056,65.8,Yes
5/17/2024,253.52,Sandy,2.05,30.5,0,82.1,Forest Cover (%),168,3,18.76,68,97.5,41.8,34.1,19.4,Medium,4.4,0.6,220,74.4,306.9,125442,70.9,No
5/18/2024,257.64,Sandy,4.83,13.4,0,62.2,Forest Cover (%),199,5,23.45,69.6,103.8,43.3,33.4,17.2,Medium,3.5,0.5,165,62.2,323.7,123607,70.8,Yes
5/19/2024,257.86,Loamy,2.72,11,2,75.4,Forest Cover (%),153,4,15.7,74.4,94.7,44,34.4,15.3,Low,3.1,0.52,225,73.7,312.8,121699,76.5,Yes
5/20/2024,259.35,Alluvial,4.39,39.7,0,40,Forest Cover (%),192,4,17.16,77.3,113.8,43.5,32.9,20,Medium,4.3,0.58,131,53.2,380.9,128628,79.3,Yes
